"gold","UMass","UCI","NPMI","C_A","C_P","C_V","words","rating"
"3","-1.6509774113","1.1941021393","0.1366355287","0.1997791124","0.7486274601","0.538143666","5","good"
"2.6666666667","-2.6713315227","2.8176364392","0.2396691765","0.4043538363","0.8590960592","0.6407639128","5","good"
"3","-1.8494223157","2.0707851293","0.1803314284","0.3710184226","0.7221037039","0.5507347393","5","good"
"2","-3.5629779845","0.2302902761","0.0187398936","0.1128720176","0.1645336977","0.4586451687","5","bad"
"3","-1.7803865588","2.545845284","0.2578862926","0.4105565769","0.7542913188","0.6204591746","5","good"
"2.8571428571","-1.6574854754","1.3431700216","0.1230518192","0.2588637813","0.5505504884","0.5175091312","5","good"
"3","-1.6606405923","2.4286720041","0.2307690377","0.4742093638","0.7620322184","0.5768428205","5","good"
"1.75","-2.1304711322","0.5373099702","0.0464894998","0.173832241","0.2765713079","0.4642500242","5","bad"
"3","-3.1081274061","-0.3825690788","0.0561541606","0.2669211415","0.2572652691","0.4908893963","5","good"
"2.3333333333","-1.3403728513","1.5472561505","0.151554884","0.4373309841","0.5624539333","0.5208494788","5","bad"
"2.5","-1.3828906272","1.4720446486","0.1584884584","0.2792337068","0.5782704835","0.540963169","5","bad"
"2","-1.8267165626","0.799948489","0.0761285529","0.1442890055","0.254556429","0.4586799441","5","bad"
"3","-1.9767267013","2.3757842446","0.2348746923","0.4229887903","0.8232509511","0.6419568819","5","good"
"2.75","-1.3815610803","0.7501841426","0.0854725925","0.207232209","0.3630422617","0.4812694283","5","good"
"2.6666666667","-2.4809385085","1.9217733666","0.1632001684","0.2724761885","0.7007989809","0.5580414702","5","good"
"2.7777777778","-3.8143410022","-0.7966762248","0.0690733","0.2564965721","0.5791485535","0.6905077689","5","good"
"1","-2.0673095608","0.3990533562","0.0363533698","0.1285341268","0.163014341","0.4518329148","5","bad"
"1.5","-1.6196890007","-0.1746505769","-0.0141494815","0.0877930202","0.0522220878","0.4571361312","5","bad"
"3","-1.0703641207","2.0295539553","0.2565972913","0.5150413028","0.7379464546","0.6565966024","5","good"
"3","-1.9759186493","1.7819043667","0.1532157695","0.2296644892","0.5658560462","0.5250774441","5","good"
"2.5","-2.3284964376","1.3235091219","0.1199330288","0.2488496142","0.4296482334","0.490664874","5","bad"
"3","-2.2124841892","2.630194858","0.2216646959","0.3512463528","0.7906457289","0.566543885","5","good"
"2.3333333333","-6.8193859363","-1.769062838","0.0246084177","0.2282463817","0.220386034","0.6562394469","5","bad"
"1.5","-1.1761716832","0.1380909343","0.0161407328","0.1502551227","0.1182419322","0.4527284722","5","bad"
"2.6666666667","-1.2547403557","1.8986274572","0.2176306832","0.4305495257","0.8013889789","0.69082788","5","good"
"2.5","-3.7164797444","-3.3932597932","-0.0806026268","0.1542529989","0.2807122459","0.5361967704","5","bad"
"3","-1.4860288727","3.0027184461","0.327647436","0.5146169254","0.7931396712","0.6187124327","5","good"
"2.75","-1.7892565562","2.0900241501","0.2050628092","0.3204188157","0.7830785039","0.6115571515","5","good"
"3","-2.1055362337","1.7236888682","0.143452269","0.2877516601","0.6272072074","0.5533680087","5","good"
"2.6","-2.0006827993","2.9461182138","0.3433133374","0.4833673886","0.8180861373","0.6409816271","5","good"
"2.3333333333","-2.9741094205","0.9987746127","0.0941626841","0.2091876669","0.4791894769","0.4907521589","5","bad"
"2.6666666667","-2.0337651649","1.1041023854","0.1087479747","0.2715517916","0.4176924807","0.5102905398","5","good"
"2.3333333333","-3.381944615","1.0506938897","0.0810801679","0.2203746557","0.2986004536","0.4789124821","5","bad"
"1.3333333333","-2.4391402434","-1.1221514233","-0.0211211521","0.2080426467","0.0960861236","0.4743378789","5","bad"
"2.6666666667","-2.772946312","1.5371623964","0.132535178","0.2029176405","0.5463324861","0.4897323841","5","good"
"2.6666666667","-2.8525548448","2.1430933858","0.1947680932","0.2858487673","0.6803944421","0.5455971552","5","good"
"1","-2.7070396317","0.0749761587","0.0103293863","0.1636714399","0.0859722794","0.4566695597","5","bad"
"3","-1.4122591108","2.789607894","0.2707830309","0.3984822501","0.8538342966","0.6989798827","5","good"
"3","-1.4197267131","3.2165928359","0.3198280155","0.5654806821","0.927220398","0.7622710635","5","good"
"1.75","-3.7368103393","-1.6126859614","-0.0338859031","0.2138185027","0.0494224765","0.4668453874","5","bad"
"2","-2.4211378323","0.2405181922","0.0238403683","0.0923488268","0.1350859829","0.4645052366","5","bad"
"1.2","-3.4701411518","-2.4954658439","-0.0681207511","0.1718997988","0.1711680325","0.51921979","5","bad"
"1.6666666667","-3.3303667779","-2.2029813713","-0.0501872545","0.2403398976","0.0604101221","0.5362234406","5","bad"
"1.5","-2.3500681432","1.1496254562","0.0872818322","0.1972073257","0.3739589664","0.4683749189","5","bad"
"2.3333333333","-2.6744771537","1.0678984634","0.0933263585","0.1997437838","0.3952401149","0.4979029607","5","bad"
"2.75","-3.9682062811","-3.4019993354","-0.0707938549","0.2036246805","0.1409976612","0.5292700361","5","good"
"3","-2.2825895369","1.9326467207","0.1891666048","0.3486236392","0.5650316816","0.5487637501","5","good"
"3","-0.8405259815","2.0047489679","0.2706286939","0.544854127","0.7379221294","0.6756134479","5","good"
"1.3333333333","-1.4107380377","0.803908516","0.0799598493","0.1646403423","0.2243625421","0.4577934399","5","bad"
"3","-1.3317759801","1.7063504843","0.2250348094","0.4977119209","0.6640325454","0.6304627723","5","good"
"2.6666666667","-1.4480218792","1.0743190805","0.1273148647","0.2762661355","0.4385230272","0.4996390603","5","good"
"3","-1.4478525995","2.3964977363","0.2354749477","0.4464847398","0.7655622732","0.6375424866","5","good"
"3","-2.4725655964","-2.0658417011","0.0143294704","0.2677312072","0.2565750932","0.6358637939","5","good"
"2.25","-2.3826817806","0.5733634913","0.0538936383","0.1364884476","0.2152695028","0.4572887473","5","bad"
"2.25","-1.974487391","1.7151003597","0.1589150477","0.4443412936","0.5651696628","0.5234297598","5","bad"
"3","-1.4045862707","1.4942724213","0.1583634775","0.3724030968","0.6159772477","0.5734292151","5","good"
"2.3333333333","-2.29616984","1.5284227681","0.1333019521","0.1945740137","0.4761982038","0.4905329097","5","bad"
"2","-1.8712102275","3.79E-004","0.0976454907","0.3088716114","0.3844242313","0.5353779068","5","bad"
"2.75","-1.9223099245","2.984508231","0.2545755797","0.3815926402","0.8365431009","0.6072167489","5","good"
"2.75","-1.9323440016","1.9034673573","0.1564965709","0.2855173199","0.5692991485","0.5297128447","5","good"
"3","-1.170559408","2.8144429887","0.2439018552","0.4637243311","0.7775218504","0.5800074103","5","good"
"2.6666666667","-2.3352570689","1.2973198143","0.1304701504","0.2503380516","0.4762953054","0.5381333081","5","good"
"1.3333333333","-3.0389490659","0.7387932115","0.0523053043","0.1379444367","0.3349012756","0.4767465935","5","bad"
"3","-1.2770136311","1.7574853415","0.1940168795","0.326181458","0.6760815784","0.5917457042","5","good"
"3","-1.7376721939","1.7355214801","0.220582981","0.4784961691","0.6544212122","0.6063676736","5","good"
"3","-1.0448647546","1.5221090146","0.1788132255","0.3739393088","0.6519514812","0.6202630891","5","good"
"1.6666666667","-1.3121733334","0.4628969458","0.0451465304","0.135023742","0.1745496447","0.4543614916","5","bad"
"3","-1.3043833364","2.5917919696","0.2829027955","0.4578351595","0.7541563078","0.6022400118","5","good"
"2.25","-1.8108213135","0.1895954608","0.0199882334","0.1813517908","0.1671734354","0.4575816837","5","bad"
"2.6666666667","-1.368309859","2.0809320997","0.2221059489","0.3711621565","0.6669824684","0.5660054636","5","good"
"3","-2.2441985071","2.6711857491","0.2366765217","0.3796149158","0.7728036547","0.6288256043","5","good"
"3","-1.5578902196","1.9497732343","0.2059137781","0.3619624549","0.7053223086","0.5738484757","5","good"
"3","-1.8794712311","2.7993102947","0.3121732021","0.4124388329","0.790680933","0.6209821514","5","good"
"1.8","-1.3374811314","-0.1509930552","-0.0124285913","0.1470232585","0.0661704753","0.4548436153","5","bad"
"1.3333333333","-2.102860311","0.7930763568","0.0818132116","0.1685851244","0.3645911074","0.4793476713","5","bad"
"2.6","-1.6971609509","1.670139152","0.1654908926","0.3100495226","0.5558532204","0.5561155087","5","good"
"1.6666666667","-1.5437194134","0.4794518145","0.0410495387","0.2127237703","0.1755180862","0.4535568397","5","bad"
"3","-1.9727340843","1.3322075376","0.1199503884","0.2068825449","0.4607373025","0.4881961552","5","good"
"1.3333333333","-1.1194189426","0.4915768734","0.0386081748","0.0609997543","0.199148378","0.4079927691","5","bad"
"2.6666666667","-3.5112877425","-3.4715186354","-0.0799976326","0.1785674412","0.289467494","0.4818723162","5","good"
"2.6666666667","-1.4360286773","1.6459916181","0.1476232925","0.3482882737","0.5945633422","0.5320117226","5","good"
"2.3333333333","-2.358281442","2.0623763485","0.1941244627","0.3091191328","0.6123549194","0.5589411948","5","bad"
"1.3333333333","-2.4217645839","-0.2588918095","0.0940891419","0.3086903489","0.5245974902","0.5396667203","5","bad"
"3","-1.841628513","2.1058079156","0.1924640647","0.3002284028","0.7220947728","0.564019451","5","good"
"3","-2.7067329912","0.9439609083","0.1241874632","0.194064576","0.7203327409","0.5251820431","5","good"
"2.6666666667","-1.9079349682","1.6308439566","0.1836574168","0.2327455313","0.4276951091","0.5386043386","5","good"
"3","-1.5471380608","3.4057639932","0.2895022916","0.429127147","0.8979430333","0.6652856405","5","good"
"2.375","-1.6406964484","1.1834737825","0.1022996615","0.1746252574","0.4216212445","0.4858417155","5","bad"
"2","-1.3137218987","0.4883721809","0.0582072081","0.1823091796","0.2490033982","0.4680157992","5","bad"
"3","-1.7113577831","2.1655128273","0.2177875022","0.3496611568","0.761626434","0.6026758022","5","good"
"2.5","-1.8772631628","1.0347548878","0.0850870699","0.2746990981","0.3998624535","0.4716746848","5","bad"
"2.6666666667","-2.0655533043","1.113779981","0.1158118213","0.2391812941","0.4697326886","0.4986701405","5","good"
"3","-1.7289281123","3.7090904463","0.3128142694","0.4690088085","0.9022516101","0.7361308695","5","good"
"3","-2.1857427847","1.0588581786","0.0986009788","0.1755945188","0.3676293828","0.5007101816","5","good"
"1.75","-1.7584670354","0.2166566896","0.0206882175","0.142932225","0.1792412126","0.4618257747","5","bad"
"2.75","-1.4553134427","1.5383850404","0.1698621363","0.3303306508","0.6283267732","0.5813712848","5","good"
"3","-1.4624689361","1.6825814885","0.1790921114","0.3125346654","0.7178106185","0.6189319361","5","good"
"1.75","-1.8690153081","-0.1604101984","-0.0094649982","0.0772201581","0.0607591135","0.454712104","5","bad"
"2.75","-2.0173596674","1.7177757156","0.172368145","0.3169117998","0.6175232935","0.5983552194","5","good"
"1.75","-1.3741095843","0.0074353661","0.0042594858","0.1688400121","0.1105949874","0.4573305499","5","bad"
"3","-2.6422392464","1.1498873009","0.1094981454","0.2425340853","0.4183493007","0.5145270454","5","good"
"1","-2.5452595552","-2.2359855524","-0.0755839576","0.1713037132","0.0433177107","0.4528546973","5","bad"
"3","-1.0897183879","2.0022737318","0.2255628649","0.3898584241","0.7857539986","0.6712411716","5","good"
"2.5","-2.1983357491","2.2472602367","0.1919680163","0.3401894485","0.6046092741","0.5179136282","5","bad"
"2.6666666667","-2.3480120471","2.5082162079","0.2652244737","0.4167837131","0.8150976223","0.6697828617","5","good"
"2.6666666667","-3.4972857307","1.4252829721","0.1118594109","0.1989965901","0.3742603728","0.4803041022","5","good"
"3","-2.0914428855","2.5926639512","0.2162088573","0.3294787341","0.7588265503","0.5656566706","5","good"
"3","-2.0176566878","2.0373049228","0.1901039701","0.3724768515","0.6272731399","0.5567540437","5","good"
"2.3333333333","-2.2571858325","1.0502543715","0.0966038999","0.1838166741","0.4319280835","0.4771339151","5","bad"
"1.3333333333","-2.9464394413","-0.8416671703","-9.57E-004","0.2022398321","0.13200774","0.4785067037","5","bad"
"2","-1.2721563149","3.8946646128","0.324089381","0.475008784","0.9442068329","0.7214844595","5","bad"
"3","-1.3122533236","2.4636999921","0.2404235395","0.4001074614","0.7713852425","0.6122937028","5","good"
"2.75","-2.1457108515","1.3697897639","0.1095198488","0.1964582379","0.406866208","0.4955792258","5","good"
"1.875","-2.0035301036","3.3695003895","0.3252992084","0.477168605","0.9139481394","0.7807853814","5","bad"
"3","-1.9607172705","3.621362265","0.3150955601","0.5097692425","0.8962038732","0.6378381731","5","good"
"1.6666666667","-1.9197231019","0.4664843651","0.0455364099","0.1216871378","0.1919093729","0.4711465467","5","bad"
"1.3333333333","-2.0749336404","0.1937014816","0.026792365","0.1326697496","0.1096358214","0.4559994617","5","bad"
"2.75","-3.9425668049","-2.5632437437","-0.0259065928","0.219103743","0.4048066683","0.5403237069","5","good"
"2.6666666667","-2.8486031003","0.2170309425","0.1196452616","0.3543249381","0.5485692647","0.6672841669","5","good"
"2","-1.8322420642","-0.1324013558","-0.0104531941","0.1102272696","-0.0036971931","0.4506108663","5","bad"
"2.5","-1.4935703206","0.7538014019","0.0674092691","0.2597213797","0.3399682373","0.5008876304","5","bad"
"2","-1.5337571031","-0.3122078736","-0.0267550388","0.0911707178","-0.02432082","0.450281667","5","bad"
"1.6666666667","-2.2694492484","-0.1785056322","0.0720104363","0.2908231495","0.5362124244","0.5520728085","5","bad"
"3","-2.0537686703","2.8400160386","0.2256223697","0.2383586612","0.7898028047","0.5613303344","5","good"
"3","-1.7505808486","2.0146763302","0.1909840056","0.3193577428","0.7410977441","0.5934395594","5","good"
"1.6666666667","-2.6391362324","2.4815657216","0.189852229","0.341307511","0.8603342196","0.6284325959","5","bad"
"2.3333333333","-2.1470199838","-0.1864195826","0.064591935","0.4191276702","0.3318148476","0.505156245","5","bad"
"3","-2.0423928496","2.6884292014","0.2441322433","0.3825205034","0.7847754361","0.600265289","5","good"
"2.25","-1.788489664","1.6539212834","0.198092504","0.460217461","0.816811396","0.6219546922","5","bad"
"2.3333333333","-1.7784463147","0.9440791096","0.0953433927","0.2007860676","0.3244504738","0.5108637292","5","bad"
"1.6666666667","-7.8527464843","-1.3684937527","0.0238115069","0.2044979866","0.138258119","0.6845767743","5","bad"
"3","-2.004310207","1.0472871376","0.0940618947","0.2446104996","0.5748661932","0.5314342292","5","good"
"2.3333333333","-1.9375488073","1.363126536","0.1003790107","0.2355770796","0.5398006195","0.4803809709","5","bad"
"2.75","-1.7865140852","2.240096627","0.2133081718","0.3799107599","0.6812961221","0.5455888058","5","good"
"2.6666666667","-2.5331330313","0.8726461554","0.131291151","0.3863389603","0.7408647008","0.5488366253","5","good"
"1.6666666667","-2.3038533471","0.5271531248","0.0442236402","0.1132768559","0.2215909429","0.4556819679","5","bad"
"2","-2.1830495241","0.9941447645","0.096637815","0.2044927029","0.4421158466","0.4868131922","5","bad"
"1.3333333333","-2.0408682929","0.8228707653","0.0689806076","0.1397089171","0.251391902","0.4666817792","5","bad"
"2.6","-1.8462203018","0.6817930324","0.0677138778","0.1587104465","0.3420648026","0.4790899751","5","good"
"2.3333333333","-1.7946581846","0.1838983617","0.0182360505","0.1072896785","0.0964542532","0.4516962275","5","bad"
"2.8","-2.1496742642","1.2809234683","0.1318882232","0.2535252066","0.5203172966","0.5152625816","5","good"
"3","-2.9913886748","1.9666896832","0.1731698983","0.2618111462","0.5425088836","0.5192876931","5","good"
"3","-1.7492697402","3.212090941","0.327149689","0.5132037571","0.8800756014","0.7008577996","5","good"
"3","-1.5382652779","3.3325212208","0.3534792258","0.5667829502","0.9260612186","0.7766634932","5","good"
"1","-1.6474220406","-0.3102929793","-0.0246272838","0.1388439054","-0.0037775504","0.4535634433","5","bad"
"1","-2.0617799254","0.5417807827","0.0459605134","0.1169371017","0.2257174363","0.4584367356","5","bad"
"3","-1.0480522419","1.9285303563","0.2336998336","0.4241208412","0.7921313251","0.7070395478","5","good"
"1.6666666667","-1.5722726022","0.0579372168","0.0082992651","0.0929414501","0.0915716092","0.4535354986","5","bad"
"2.4","-2.1492535523","1.3170300782","0.1221576037","0.2486160944","0.4719874203","0.5160088789","5","bad"
"2.75","-4.8877611162","-1.944482694","-0.0016225031","0.2068132007","0.1903414584","0.5947127046","5","good"
"1.6666666667","-2.6847820719","-0.7186664902","0.005740105","0.2522741115","0.2091292525","0.5033915008","5","bad"
"3","-1.7793741155","0.8736631721","0.0885969574","0.2598205378","0.443647599","0.5133234833","5","good"
"3","-1.9246238106","2.0626818728","0.1750320694","0.3642707385","0.6798161648","0.5290644846","5","good"
"3","-1.4577955244","1.4309571061","0.1348641985","0.2872411565","0.5861512235","0.526197532","5","good"
"2.9","-1.5600960185","1.5026851185","0.1343979573","0.2639261113","0.6049877483","0.5398061861","5","good"
"2.6666666667","-1.076720546","1.8160777012","0.2149618856","0.3792996384","0.7654323856","0.6874850402","5","good"
"2","-2.0080434851","0.7127124014","0.0720365484","0.1453153915","0.2636701455","0.4871579113","5","bad"
"3","-1.4359968338","1.8999570929","0.1970095634","0.3067578051","0.7285187161","0.6127123973","5","good"
"2.6666666667","-2.2349237899","0.5192417755","0.0504669915","0.2177836347","0.2271541524","0.4667693033","5","good"
"1","-1.8919436587","-0.2497944497","-0.0197599195","0.0617316223","0.0054536207","0.4476949074","5","bad"
"1.25","-2.5315692175","0.4558024311","0.0409064897","0.1072506119","0.2166436884","0.4607359743","5","bad"
"1.3333333333","-2.2329827492","-0.1692310778","-0.0093537988","0.091486227","0.0281921654","0.4537242112","5","bad"
"2.6","-1.8105329712","0.5532576092","0.0592343922","0.3014848667","0.2543382995","0.4673849896","5","good"
"2.5","-1.6168463563","1.0190041621","0.0917827393","0.1649725265","0.3795520264","0.4895478174","5","bad"
"1.3333333333","-3.6686782427","-2.6339810119","-0.0192001965","0.2722282697","0.2815979943","0.6209450861","5","bad"
"3","-1.855988844","1.4454643164","0.1319145242","0.2875027892","0.5686799437","0.5129494917","5","good"
"1.6","-2.139513267","0.4221225723","0.0393032316","0.1141331165","0.2284868669","0.4595881242","5","bad"
"3","-1.4736017188","2.1986051055","0.2354252628","0.4270838089","0.7664484816","0.6187427867","5","good"
"2.75","-2.128316733","1.1578946363","0.1107660335","0.2963244406","0.4601508316","0.4862187615","5","good"
"1.3333333333","-1.2286844097","-0.1784510808","-0.0164639641","0.0878357026","0.044117503","0.4482100122","5","bad"
"3","-1.6438200561","1.8172283888","0.1815238046","0.2898569396","0.7441551073","0.6006532324","5","good"
"2.6666666667","-1.8746253471","1.8854776822","0.1719263477","0.2862990089","0.6948756618","0.557816678","5","good"
"2.3333333333","-2.4085791187","1.5232550774","0.1305627822","0.2460770421","0.4789831871","0.5121777633","5","bad"
"1.8","-2.3491808784","0.3945359439","0.0294433802","0.0959458935","0.1966256059","0.4530643747","5","bad"
"2.6","-3.1699893596","-1.6317122109","0.0207621875","0.2647880246","0.1589395496","0.6646054403","5","good"
"3","-1.0209888256","1.7316794119","0.1993663827","0.3486775444","0.658087775","0.5950611885","5","good"
"3","-2.7764765911","1.3727681174","0.1440404047","0.2508447777","0.4616477203","0.533574275","5","good"
"1.5","-1.3830042645","-0.2178363558","-0.0181054658","0.1328390738","0.07392637","0.4527706889","5","bad"
"2","-2.0562883695","2.0106262811","0.1913945538","0.4135136261","0.6914808812","0.5575766644","5","bad"
"2.8571428571","-1.3983330047","2.6459443351","0.3201034034","0.5758499445","0.7442200633","0.702252924","5","good"
"2.6","-5.0293535971","-1.9477912199","-0.0179087287","0.1675041291","0.1559805151","0.563633713","5","good"
"1.6666666667","-2.7414001447","-1.6194838184","-0.0358596007","0.1443121252","0.2594566395","0.462917898","5","bad"
"3","-1.9961919782","2.6012875617","0.2410842642","0.4001962882","0.8142840333","0.6307822493","5","good"
"1.6666666667","-1.4345716421","-0.1079445929","-0.0085420583","0.0924900126","0.0817265474","0.4551368222","5","bad"
"3","-1.7258694637","2.1633326608","0.2185409639","0.3818872187","0.6571262131","0.54327412","5","good"
"3","-1.5278677875","2.4147660116","0.2336128177","0.3696847784","0.8046933701","0.6286289088","5","good"
"1.6666666667","-1.1111890138","0.097105638","0.0116147318","0.1259425952","0.1217152125","0.4519894006","5","bad"
"1","-2.5659208902","0.0259760076","0.0065870085","0.0813474938","0.0620047486","0.4505235977","5","bad"
"3","-1.979296293","1.6272223876","0.1724931108","0.2880233808","0.6511688429","0.5676405794","5","good"
"3","-6.3367510265","-6.1710435816","-0.2150078721","0.1034191376","0.2435515033","0.5041883412","5","good"
"3","-1.077697513","1.7306840135","0.2121049195","0.5113488391","0.6236691292","0.6190495164","5","good"
"3","-1.8079797096","2.713206697","0.2774038993","0.4708982382","0.8625358115","0.7037179215","5","good"
"2.3333333333","-4.0343745938","-2.8103623039","-0.0593065295","0.2098993186","0.1596541499","0.5444746513","5","bad"
"3","-1.485580739","1.8006999181","0.1803992847","0.3522109414","0.7137711013","0.5994953056","5","good"
"3","-1.1668771332","1.9820765186","0.2271277384","0.406299476","0.6985438899","0.587236742","5","good"
"2.6666666667","-2.1695568762","0.9518820762","0.1403609233","0.319477515","0.6702355638","0.5678641828","5","good"
"1.75","-2.0555771197","1.2127685608","0.1453780555","0.2920450208","0.4625573714","0.5498339499","5","bad"
"3","-1.5267445507","1.4722285032","0.1357245889","0.2666830477","0.5341910692","0.5353971577","5","good"
"3","-1.2127146507","2.4470797093","0.2397592809","0.4458114966","0.7675274514","0.6366794882","5","good"
"2.8","-3.3669213684","-0.2043485229","0.054870135","0.2000383354","0.4803534214","0.5347695871","5","good"
"2.6","-1.7471178418","2.3618549565","0.2224398227","0.3390775164","0.807816004","0.6203232556","5","good"
"1.8571428571","-3.6204713366","-1.6940653819","-0.0387060859","0.1229958492","0.2009612983","0.4567573846","5","bad"
"2.25","-2.9509777498","-1.9377219191","0.0075282376","0.2836065776","0.5150638116","0.513336459","5","bad"
"3","-1.5864813894","1.8292836633","0.1609181708","0.3884573179","0.6742593182","0.5274938927","5","good"
"1.6666666667","-1.8730209522","0.8481924064","0.0718118898","0.1270374217","0.3183662759","0.4630007897","5","bad"
"2.3333333333","-2.1096962595","0.4734705815","0.044539876","0.1362863898","0.209539408","0.4607190797","5","bad"
"3","-2.334645396","1.8206695466","0.1802741334","0.4591511541","0.5893173211","0.552310994","5","good"
"2.25","-1.4875578293","1.4571514188","0.1686600273","0.2886936242","0.5738195819","0.5858407707","5","bad"
"3","-1.6484817175","3.0605994979","0.351048396","0.5689117525","0.8165922399","0.7044306844","5","good"
"1","-1.534993782","0.3542340013","0.0277670986","0.1319872613","0.2449613625","0.455516148","5","bad"
"3","-2.8053237173","1.2465420479","0.1447420074","0.3127494552","0.4684426851","0.5624178817","5","good"
"3","-1.4060417463","1.9872730816","0.217485225","0.3810127092","0.697701477","0.5728033946","5","good"
"1.1666666667","-2.2596105801","0.1409192506","0.0103872529","0.0816822998","0.186192","0.4557470499","5","bad"
"2","-1.4790139455","0.2267847677","0.0284732363","0.1386422649","0.1448973554","0.4603065133","5","bad"
"3","-3.2308350935","1.7390844823","0.1366561738","0.2539695648","0.4482087013","0.496088053","5","good"
"3","-1.5422152444","2.4281826877","0.2445174798","0.3823309804","0.797171074","0.6459988425","5","good"
"2.8571428571","-3.0663782962","1.7823064859","0.1881523221","0.365767445","0.8432721954","0.6138229853","5","good"
"2","-2.5080522448","0.5182762753","0.0408784498","0.1592970031","0.272189601","0.4644354996","5","bad"
"1","-2.0045672647","-0.1826132304","0.0259610178","0.2897850203","0.2486533617","0.5087004879","5","bad"
"2.75","-2.3440124228","1.4477875466","0.1138583929","0.1614026294","0.5541700092","0.4897469949","5","good"
"1.5","-2.0324823072","0.6527760176","0.0506181529","0.1600764724","0.2723853088","0.4766715694","5","bad"
"2","-2.4992225603","0.3398058978","0.0442972123","0.1919908453","0.1781084075","0.5089138795","5","bad"
"2.4","-2.0453651483","-2.4309472169","-0.0457704804","0.2075610267","0.0648702133","0.5089414259","5","bad"
"2.8571428571","-1.9493668079","1.9480099141","0.1847291832","0.2871318519","0.6192542923","0.5234416971","5","good"
"3","-1.7579256252","1.3823010893","0.1235291335","0.274891001","0.4815505433","0.5069537421","5","good"
"2.6666666667","-2.7981794749","1.0396345588","0.0969312393","0.1894552589","0.4250963032","0.4789371458","5","good"
"2.8","-2.7354707138","0.7230981445","0.0616631595","0.1703144803","0.3987869508","0.4790020246","5","good"
"2","-1.3850704574","0.0047752978","1.85E-004","0.1154945859","0.1368211256","0.4518641999","5","bad"
"3","-1.4871671431","2.9718110445","0.2916396528","0.4505688746","0.9006875529","0.7259079584","5","good"
"1.5","-2.370688534","0.5586883974","0.04200229","0.1002109612","0.220872495","0.4538739653","5","bad"
"2.3333333333","-2.449953601","0.5990180734","0.0526818532","0.1361447348","0.1981318198","0.4585769866","5","bad"
"1.75","-2.2389667203","-0.313225933","0.0280331597","0.21517823","0.3711195276","0.4750662674","5","bad"
"2.6666666667","-1.7587517431","2.3026442197","0.2082019732","0.4553057447","0.7418626382","0.5462900747","5","good"
"1.6666666667","-2.4135750575","-0.2242039717","0.0388972375","0.1961406218","0.4128005314","0.4898004175","5","bad"
"1.5","-3.2613826428","-0.9943922096","0.0017715636","0.3208348083","0.0251845781","0.5601866153","5","bad"
"3","-1.6688177928","2.1212961006","0.2003058144","0.3303746674","0.7728226024","0.6005169579","5","good"
"2.6","-3.2013970549","-1.6889976628","0.0025885401","0.2773305833","0.3766355622","0.5358040523","5","good"
"3","-2.0087071166","1.7505712017","0.1546582119","0.2557430858","0.5559063767","0.4938557942","5","good"
"3","-2.12932573","0.6055282704","0.066446941","0.2671859359","0.2645537696","0.5057069577","5","good"
"2.3333333333","-2.8653607611","1.1842718162","0.1214754522","0.2269282018","0.433232907","0.5177573959","5","bad"
"1.6","-2.7653410857","-2.0023745185","-0.0558596885","0.1274229508","-0.0046298441","0.5167633253","5","bad"
"2.6666666667","-1.7436334745","2.2926717115","0.1955877147","0.3178871415","0.6608885643","0.5274771256","5","good"
"2","-2.5082315774","1.3488370318","0.111546656","0.2466682003","0.4035771235","0.4741713298","5","bad"
"1.6666666667","-1.4623007432","0.8032612211","0.076358679","0.1520108528","0.2953857834","0.4635992545","5","bad"
"1","-2.8386278498","-2.3511229647","-0.0924215824","0.1887064315","-0.0293602557","0.4503974685","5","bad"
"3","-3.1816708812","0.5500418547","0.0939989272","0.210009462","0.5422895223","0.5807577184","5","good"
"1","-0.9894409964","0.1400507192","0.0118876748","0.1027796683","0.1060551365","0.4507355648","5","bad"
"2.8","-1.7810067566","3.6403118826","0.2796139494","0.3766094244","0.9164056191","0.6718479458","5","good"
"2","-1.7022306045","1.1942479861","0.1030266274","0.3149926183","0.4599140448","0.5074587403","5","bad"
"3","-2.2707699074","2.0781040628","0.2009555491","0.3152965043","0.6737623509","0.5436753661","5","good"
"3","-2.2441985071","2.6711857491","0.2366765217","0.3796149158","0.7728036547","0.6288256043","5","good"
"2.5","-1.5212098156","4.0206171518","0.3320775149","0.4860049344","0.9463007253","0.7172779281","5","bad"
"2.3333333333","-2.291303601","2.4053155775","0.1903635469","0.3129351512","0.6641173285","0.5655913274","5","bad"
"3","-2.1138482685","1.696082298","0.1552289036","0.2374256892","0.6433462498","0.5323500622","5","good"
"1.6666666667","-1.9015782862","-0.1388845919","-0.0109207644","0.0851283123","0.1044512145","0.4549311244","5","bad"
"2","-3.3212002732","-0.5707341035","-7.57E-004","0.1519104231","0.2758079007","0.4603002673","5","bad"
"1.6666666667","-2.2695833951","0.2747953649","0.0276539501","0.180548531","0.1718573595","0.4577152305","5","bad"
"3","-1.570641321","2.8012205599","0.271921306","0.4080177165","0.8694653511","0.6885875402","5","good"
"1.6666666667","-2.9649047243","-3.4458143544","-0.1123185624","0.2106916732","0.0498900331","0.462305563","5","bad"
"2","-2.1367097399","0.9450085456","0.0957455914","0.1874909449","0.416796361","0.478213099","5","bad"
"3","-1.8780659625","1.4377091983","0.1459420462","0.2574712905","0.5652934325","0.514881251","5","good"
"2.8","-3.6030320671","-2.1165449704","-0.051933164","0.1539995098","0.4985256252","0.491109258","5","good"
